Date;day_name;Numero_do_dia;Ano;Month;nome_dia;num_dia;fk
2023-01-01;Sunday;6;2023;January;Domingo;6;1
2023-01-02;Monday;0;2023;January;Segunda;0;2
2023-01-03;Tuesday;1;2023;January;Terça;1;3
2023-01-04;Wednesday;2;2023;January;Quarta;2;4
2023-01-05;Thursday;3;2023;January;Quinta;3;5
2023-01-06;Friday;4;2023;January;Sexta;4;6
2023-01-07;Saturday;5;2023;January;Sábado;5;7
2023-01-08;Sunday;6;2023;January;Domingo;6;8
2023-01-09;Monday;0;2023;January;Segunda;0;9
2023-01-10;Tuesday;1;2023;January;Terça;1;10
2023-01-11;Wednesday;2;2023;January;Quarta;2;11
2023-01-12;Thursday;3;2023;January;Quinta;3;12
2023-01-13;Friday;4;2023;January;Sexta;4;13
2023-01-14;Saturday;5;2023;January;Sábado;5;14
2023-01-15;Sunday;6;2023;January;Domingo;6;15
2023-01-16;Monday;0;2023;January;Segunda;0;16
2023-01-17;Tuesday;1;2023;January;Terça;1;17
2023-01-18;Wednesday;2;2023;January;Quarta;2;18
2023-01-19;Thursday;3;2023;January;Quinta;3;19
2023-01-20;Friday;4;2023;January;Sexta;4;20
2023-01-21;Saturday;5;2023;January;Sábado;5;21
2023-01-22;Sunday;6;2023;January;Domingo;6;22
2023-01-23;Monday;0;2023;January;Segunda;0;23
2023-01-24;Tuesday;1;2023;January;Terça;1;24
2023-01-25;Wednesday;2;2023;January;Quarta;2;25
2023-01-26;Thursday;3;2023;January;Quinta;3;26
2023-01-27;Friday;4;2023;January;Sexta;4;27
2023-01-28;Saturday;5;2023;January;Sábado;5;28
2023-01-29;Sunday;6;2023;January;Domingo;6;29
2023-01-30;Monday;0;2023;January;Segunda;0;30
2023-01-31;Tuesday;1;2023;January;Terça;1;31
2023-02-01;Wednesday;2;2023;February;Quarta;2;32
2023-02-02;Thursday;3;2023;February;Quinta;3;33
2023-02-03;Friday;4;2023;February;Sexta;4;34
2023-02-04;Saturday;5;2023;February;Sábado;5;35
2023-02-05;Sunday;6;2023;February;Domingo;6;36
2023-02-06;Monday;0;2023;February;Segunda;0;37
2023-02-07;Tuesday;1;2023;February;Terça;1;38
2023-02-08;Wednesday;2;2023;February;Quarta;2;39
2023-02-09;Thursday;3;2023;February;Quinta;3;40
2023-02-10;Friday;4;2023;February;Sexta;4;41
2023-02-11;Saturday;5;2023;February;Sábado;5;42
2023-02-12;Sunday;6;2023;February;Domingo;6;43
2023-02-13;Monday;0;2023;February;Segunda;0;44
2023-02-14;Tuesday;1;2023;February;Terça;1;45
2023-02-15;Wednesday;2;2023;February;Quarta;2;46
2023-02-16;Thursday;3;2023;February;Quinta;3;47
2023-02-17;Friday;4;2023;February;Sexta;4;48
2023-02-18;Saturday;5;2023;February;Sábado;5;49
2023-02-19;Sunday;6;2023;February;Domingo;6;50
2023-02-20;Monday;0;2023;February;Segunda;0;51
2023-02-21;Tuesday;1;2023;February;Terça;1;52
2023-02-22;Wednesday;2;2023;February;Quarta;2;53
2023-02-23;Thursday;3;2023;February;Quinta;3;54
2023-02-24;Friday;4;2023;February;Sexta;4;55
2023-02-25;Saturday;5;2023;February;Sábado;5;56
2023-02-26;Sunday;6;2023;February;Domingo;6;57
2023-02-27;Monday;0;2023;February;Segunda;0;58
2023-02-28;Tuesday;1;2023;February;Terça;1;59
2023-03-01;Wednesday;2;2023;March;Quarta;2;60
2023-03-02;Thursday;3;2023;March;Quinta;3;61
2023-03-03;Friday;4;2023;March;Sexta;4;62
2023-03-04;Saturday;5;2023;March;Sábado;5;63
2023-03-05;Sunday;6;2023;March;Domingo;6;64
2023-03-06;Monday;0;2023;March;Segunda;0;65
2023-03-07;Tuesday;1;2023;March;Terça;1;66
2023-03-08;Wednesday;2;2023;March;Quarta;2;67
2023-03-09;Thursday;3;2023;March;Quinta;3;68
2023-03-10;Friday;4;2023;March;Sexta;4;69
2023-03-11;Saturday;5;2023;March;Sábado;5;70
2023-03-12;Sunday;6;2023;March;Domingo;6;71
2023-03-13;Monday;0;2023;March;Segunda;0;72
2023-03-14;Tuesday;1;2023;March;Terça;1;73
2023-03-15;Wednesday;2;2023;March;Quarta;2;74
2023-03-16;Thursday;3;2023;March;Quinta;3;75
2023-03-17;Friday;4;2023;March;Sexta;4;76
2023-03-18;Saturday;5;2023;March;Sábado;5;77
2023-03-19;Sunday;6;2023;March;Domingo;6;78
2023-03-20;Monday;0;2023;March;Segunda;0;79
2023-03-21;Tuesday;1;2023;March;Terça;1;80
2023-03-22;Wednesday;2;2023;March;Quarta;2;81
2023-03-23;Thursday;3;2023;March;Quinta;3;82
2023-03-24;Friday;4;2023;March;Sexta;4;83
2023-03-25;Saturday;5;2023;March;Sábado;5;84
2023-03-26;Sunday;6;2023;March;Domingo;6;85
2023-03-27;Monday;0;2023;March;Segunda;0;86
2023-03-28;Tuesday;1;2023;March;Terça;1;87
2023-03-29;Wednesday;2;2023;March;Quarta;2;88
2023-03-30;Thursday;3;2023;March;Quinta;3;89
2023-03-31;Friday;4;2023;March;Sexta;4;90
2023-04-01;Saturday;5;2023;April;Sábado;5;91
2023-04-02;Sunday;6;2023;April;Domingo;6;92
2023-04-03;Monday;0;2023;April;Segunda;0;93
2023-04-04;Tuesday;1;2023;April;Terça;1;94
2023-04-05;Wednesday;2;2023;April;Quarta;2;95
2023-04-06;Thursday;3;2023;April;Quinta;3;96
2023-04-07;Friday;4;2023;April;Sexta;4;97
2023-04-08;Saturday;5;2023;April;Sábado;5;98
2023-04-09;Sunday;6;2023;April;Domingo;6;99
2023-04-10;Monday;0;2023;April;Segunda;0;100
2023-04-11;Tuesday;1;2023;April;Terça;1;101
2023-04-12;Wednesday;2;2023;April;Quarta;2;102
2023-04-13;Thursday;3;2023;April;Quinta;3;103
2023-04-14;Friday;4;2023;April;Sexta;4;104
2023-04-15;Saturday;5;2023;April;Sábado;5;105
2023-04-16;Sunday;6;2023;April;Domingo;6;106
2023-04-17;Monday;0;2023;April;Segunda;0;107
2023-04-18;Tuesday;1;2023;April;Terça;1;108
2023-04-19;Wednesday;2;2023;April;Quarta;2;109
2023-04-20;Thursday;3;2023;April;Quinta;3;110
2023-04-21;Friday;4;2023;April;Sexta;4;111
2023-04-22;Saturday;5;2023;April;Sábado;5;112
2023-04-23;Sunday;6;2023;April;Domingo;6;113
2023-04-24;Monday;0;2023;April;Segunda;0;114
2023-04-25;Tuesday;1;2023;April;Terça;1;115
2023-04-26;Wednesday;2;2023;April;Quarta;2;116
2023-04-27;Thursday;3;2023;April;Quinta;3;117
2023-04-28;Friday;4;2023;April;Sexta;4;118
2023-04-29;Saturday;5;2023;April;Sábado;5;119
2023-04-30;Sunday;6;2023;April;Domingo;6;120
2023-05-01;Monday;0;2023;May;Segunda;0;121
2023-05-02;Tuesday;1;2023;May;Terça;1;122
2023-05-03;Wednesday;2;2023;May;Quarta;2;123
2023-05-04;Thursday;3;2023;May;Quinta;3;124
2023-05-05;Friday;4;2023;May;Sexta;4;125
2023-05-06;Saturday;5;2023;May;Sábado;5;126
2023-05-07;Sunday;6;2023;May;Domingo;6;127
2023-05-08;Monday;0;2023;May;Segunda;0;128
2023-05-09;Tuesday;1;2023;May;Terça;1;129
2023-05-10;Wednesday;2;2023;May;Quarta;2;130
2023-05-11;Thursday;3;2023;May;Quinta;3;131
2023-05-12;Friday;4;2023;May;Sexta;4;132
2023-05-13;Saturday;5;2023;May;Sábado;5;133
2023-05-14;Sunday;6;2023;May;Domingo;6;134
2023-05-15;Monday;0;2023;May;Segunda;0;135
2023-05-16;Tuesday;1;2023;May;Terça;1;136
2023-05-17;Wednesday;2;2023;May;Quarta;2;137
2023-05-18;Thursday;3;2023;May;Quinta;3;138
2023-05-19;Friday;4;2023;May;Sexta;4;139
2023-05-20;Saturday;5;2023;May;Sábado;5;140
2023-05-21;Sunday;6;2023;May;Domingo;6;141
2023-05-22;Monday;0;2023;May;Segunda;0;142
2023-05-23;Tuesday;1;2023;May;Terça;1;143
2023-05-24;Wednesday;2;2023;May;Quarta;2;144
2023-05-25;Thursday;3;2023;May;Quinta;3;145
2023-05-26;Friday;4;2023;May;Sexta;4;146
2023-05-27;Saturday;5;2023;May;Sábado;5;147
2023-05-28;Sunday;6;2023;May;Domingo;6;148
2023-05-29;Monday;0;2023;May;Segunda;0;149
2023-05-30;Tuesday;1;2023;May;Terça;1;150
2023-05-31;Wednesday;2;2023;May;Quarta;2;151
2023-06-01;Thursday;3;2023;June;Quinta;3;152
2023-06-02;Friday;4;2023;June;Sexta;4;153
2023-06-03;Saturday;5;2023;June;Sábado;5;154
2023-06-04;Sunday;6;2023;June;Domingo;6;155
2023-06-05;Monday;0;2023;June;Segunda;0;156
2023-06-06;Tuesday;1;2023;June;Terça;1;157
2023-06-07;Wednesday;2;2023;June;Quarta;2;158
2023-06-08;Thursday;3;2023;June;Quinta;3;159
2023-06-09;Friday;4;2023;June;Sexta;4;160
2023-06-10;Saturday;5;2023;June;Sábado;5;161
2023-06-11;Sunday;6;2023;June;Domingo;6;162
2023-06-12;Monday;0;2023;June;Segunda;0;163
2023-06-13;Tuesday;1;2023;June;Terça;1;164
2023-06-14;Wednesday;2;2023;June;Quarta;2;165
2023-06-15;Thursday;3;2023;June;Quinta;3;166
2023-06-16;Friday;4;2023;June;Sexta;4;167
2023-06-17;Saturday;5;2023;June;Sábado;5;168
2023-06-18;Sunday;6;2023;June;Domingo;6;169
2023-06-19;Monday;0;2023;June;Segunda;0;170
2023-06-20;Tuesday;1;2023;June;Terça;1;171
2023-06-21;Wednesday;2;2023;June;Quarta;2;172
2023-06-22;Thursday;3;2023;June;Quinta;3;173
2023-06-23;Friday;4;2023;June;Sexta;4;174
2023-06-24;Saturday;5;2023;June;Sábado;5;175
2023-06-25;Sunday;6;2023;June;Domingo;6;176
2023-06-26;Monday;0;2023;June;Segunda;0;177
2023-06-27;Tuesday;1;2023;June;Terça;1;178
2023-06-28;Wednesday;2;2023;June;Quarta;2;179
2023-06-29;Thursday;3;2023;June;Quinta;3;180
2023-06-30;Friday;4;2023;June;Sexta;4;181
2023-07-01;Saturday;5;2023;July;Sábado;5;182
2023-07-02;Sunday;6;2023;July;Domingo;6;183
2023-07-03;Monday;0;2023;July;Segunda;0;184
2023-07-04;Tuesday;1;2023;July;Terça;1;185
2023-07-05;Wednesday;2;2023;July;Quarta;2;186
2023-07-06;Thursday;3;2023;July;Quinta;3;187
2023-07-07;Friday;4;2023;July;Sexta;4;188
2023-07-08;Saturday;5;2023;July;Sábado;5;189
2023-07-09;Sunday;6;2023;July;Domingo;6;190
2023-07-10;Monday;0;2023;July;Segunda;0;191
2023-07-11;Tuesday;1;2023;July;Terça;1;192
2023-07-12;Wednesday;2;2023;July;Quarta;2;193
2023-07-13;Thursday;3;2023;July;Quinta;3;194
2023-07-14;Friday;4;2023;July;Sexta;4;195
2023-07-15;Saturday;5;2023;July;Sábado;5;196
2023-07-16;Sunday;6;2023;July;Domingo;6;197
2023-07-17;Monday;0;2023;July;Segunda;0;198
2023-07-18;Tuesday;1;2023;July;Terça;1;199
2023-07-19;Wednesday;2;2023;July;Quarta;2;200
2023-07-20;Thursday;3;2023;July;Quinta;3;201
2023-07-21;Friday;4;2023;July;Sexta;4;202
2023-07-22;Saturday;5;2023;July;Sábado;5;203
2023-07-23;Sunday;6;2023;July;Domingo;6;204
2023-07-24;Monday;0;2023;July;Segunda;0;205
2023-07-25;Tuesday;1;2023;July;Terça;1;206
2023-07-26;Wednesday;2;2023;July;Quarta;2;207
2023-07-27;Thursday;3;2023;July;Quinta;3;208
2023-07-28;Friday;4;2023;July;Sexta;4;209
2023-07-29;Saturday;5;2023;July;Sábado;5;210
2023-07-30;Sunday;6;2023;July;Domingo;6;211
2023-07-31;Monday;0;2023;July;Segunda;0;212
2023-08-01;Tuesday;1;2023;August;Terça;1;213
2023-08-02;Wednesday;2;2023;August;Quarta;2;214
2023-08-03;Thursday;3;2023;August;Quinta;3;215
2023-08-04;Friday;4;2023;August;Sexta;4;216
2023-08-05;Saturday;5;2023;August;Sábado;5;217
2023-08-06;Sunday;6;2023;August;Domingo;6;218
2023-08-07;Monday;0;2023;August;Segunda;0;219
2023-08-08;Tuesday;1;2023;August;Terça;1;220
2023-08-09;Wednesday;2;2023;August;Quarta;2;221
2023-08-10;Thursday;3;2023;August;Quinta;3;222
2023-08-11;Friday;4;2023;August;Sexta;4;223
2023-08-12;Saturday;5;2023;August;Sábado;5;224
2023-08-13;Sunday;6;2023;August;Domingo;6;225
2023-08-14;Monday;0;2023;August;Segunda;0;226
2023-08-15;Tuesday;1;2023;August;Terça;1;227
2023-08-16;Wednesday;2;2023;August;Quarta;2;228
2023-08-17;Thursday;3;2023;August;Quinta;3;229
2023-08-18;Friday;4;2023;August;Sexta;4;230
2023-08-19;Saturday;5;2023;August;Sábado;5;231
2023-08-20;Sunday;6;2023;August;Domingo;6;232
2023-08-21;Monday;0;2023;August;Segunda;0;233
2023-08-22;Tuesday;1;2023;August;Terça;1;234
2023-08-23;Wednesday;2;2023;August;Quarta;2;235
2023-08-24;Thursday;3;2023;August;Quinta;3;236
2023-08-25;Friday;4;2023;August;Sexta;4;237
2023-08-26;Saturday;5;2023;August;Sábado;5;238
2023-08-27;Sunday;6;2023;August;Domingo;6;239
2023-08-28;Monday;0;2023;August;Segunda;0;240
2023-08-29;Tuesday;1;2023;August;Terça;1;241
2023-08-30;Wednesday;2;2023;August;Quarta;2;242
2023-08-31;Thursday;3;2023;August;Quinta;3;243
2023-09-01;Friday;4;2023;September;Sexta;4;244
2023-09-02;Saturday;5;2023;September;Sábado;5;245
2023-09-03;Sunday;6;2023;September;Domingo;6;246
2023-09-04;Monday;0;2023;September;Segunda;0;247
2023-09-05;Tuesday;1;2023;September;Terça;1;248
2023-09-06;Wednesday;2;2023;September;Quarta;2;249
2023-09-07;Thursday;3;2023;September;Quinta;3;250
2023-09-08;Friday;4;2023;September;Sexta;4;251
2023-09-09;Saturday;5;2023;September;Sábado;5;252
2023-09-10;Sunday;6;2023;September;Domingo;6;253
2023-09-11;Monday;0;2023;September;Segunda;0;254
2023-09-12;Tuesday;1;2023;September;Terça;1;255
2023-09-13;Wednesday;2;2023;September;Quarta;2;256
2023-09-14;Thursday;3;2023;September;Quinta;3;257
2023-09-15;Friday;4;2023;September;Sexta;4;258
2023-09-16;Saturday;5;2023;September;Sábado;5;259
2023-09-17;Sunday;6;2023;September;Domingo;6;260
2023-09-18;Monday;0;2023;September;Segunda;0;261
2023-09-19;Tuesday;1;2023;September;Terça;1;262
2023-09-20;Wednesday;2;2023;September;Quarta;2;263
2023-09-21;Thursday;3;2023;September;Quinta;3;264
2023-09-22;Friday;4;2023;September;Sexta;4;265
2023-09-23;Saturday;5;2023;September;Sábado;5;266
2023-09-24;Sunday;6;2023;September;Domingo;6;267
2023-09-25;Monday;0;2023;September;Segunda;0;268
2023-09-26;Tuesday;1;2023;September;Terça;1;269
2023-09-27;Wednesday;2;2023;September;Quarta;2;270
2023-09-28;Thursday;3;2023;September;Quinta;3;271
2023-09-29;Friday;4;2023;September;Sexta;4;272
2023-09-30;Saturday;5;2023;September;Sábado;5;273
2023-10-01;Sunday;6;2023;October;Domingo;6;274
2023-10-02;Monday;0;2023;October;Segunda;0;275
2023-10-03;Tuesday;1;2023;October;Terça;1;276
2023-10-04;Wednesday;2;2023;October;Quarta;2;277
2023-10-05;Thursday;3;2023;October;Quinta;3;278
2023-10-06;Friday;4;2023;October;Sexta;4;279
2023-10-07;Saturday;5;2023;October;Sábado;5;280
2023-10-08;Sunday;6;2023;October;Domingo;6;281
2023-10-09;Monday;0;2023;October;Segunda;0;282
2023-10-10;Tuesday;1;2023;October;Terça;1;283
2023-10-11;Wednesday;2;2023;October;Quarta;2;284
2023-10-12;Thursday;3;2023;October;Quinta;3;285
2023-10-13;Friday;4;2023;October;Sexta;4;286
2023-10-14;Saturday;5;2023;October;Sábado;5;287
2023-10-15;Sunday;6;2023;October;Domingo;6;288
2023-10-16;Monday;0;2023;October;Segunda;0;289
2023-10-17;Tuesday;1;2023;October;Terça;1;290
2023-10-18;Wednesday;2;2023;October;Quarta;2;291
2023-10-19;Thursday;3;2023;October;Quinta;3;292
2023-10-20;Friday;4;2023;October;Sexta;4;293
2023-10-21;Saturday;5;2023;October;Sábado;5;294
2023-10-22;Sunday;6;2023;October;Domingo;6;295
2023-10-23;Monday;0;2023;October;Segunda;0;296
2023-10-24;Tuesday;1;2023;October;Terça;1;297
2023-10-25;Wednesday;2;2023;October;Quarta;2;298
2023-10-26;Thursday;3;2023;October;Quinta;3;299
2023-10-27;Friday;4;2023;October;Sexta;4;300
2023-10-28;Saturday;5;2023;October;Sábado;5;301
2023-10-29;Sunday;6;2023;October;Domingo;6;302
2023-10-30;Monday;0;2023;October;Segunda;0;303
2023-10-31;Tuesday;1;2023;October;Terça;1;304
2023-11-01;Wednesday;2;2023;November;Quarta;2;305
2023-11-02;Thursday;3;2023;November;Quinta;3;306
2023-11-03;Friday;4;2023;November;Sexta;4;307
2023-11-04;Saturday;5;2023;November;Sábado;5;308
2023-11-05;Sunday;6;2023;November;Domingo;6;309
2023-11-06;Monday;0;2023;November;Segunda;0;310
2023-11-07;Tuesday;1;2023;November;Terça;1;311
2023-11-08;Wednesday;2;2023;November;Quarta;2;312
2023-11-09;Thursday;3;2023;November;Quinta;3;313
2023-11-10;Friday;4;2023;November;Sexta;4;314
2023-11-11;Saturday;5;2023;November;Sábado;5;315
2023-11-12;Sunday;6;2023;November;Domingo;6;316
2023-11-13;Monday;0;2023;November;Segunda;0;317
2023-11-14;Tuesday;1;2023;November;Terça;1;318
2023-11-15;Wednesday;2;2023;November;Quarta;2;319
2023-11-16;Thursday;3;2023;November;Quinta;3;320
2023-11-17;Friday;4;2023;November;Sexta;4;321
2023-11-18;Saturday;5;2023;November;Sábado;5;322
2023-11-19;Sunday;6;2023;November;Domingo;6;323
2023-11-20;Monday;0;2023;November;Segunda;0;324
2023-11-21;Tuesday;1;2023;November;Terça;1;325
2023-11-22;Wednesday;2;2023;November;Quarta;2;326
2023-11-23;Thursday;3;2023;November;Quinta;3;327
2023-11-24;Friday;4;2023;November;Sexta;4;328
2023-11-25;Saturday;5;2023;November;Sábado;5;329
2023-11-26;Sunday;6;2023;November;Domingo;6;330
2023-11-27;Monday;0;2023;November;Segunda;0;331
2023-11-28;Tuesday;1;2023;November;Terça;1;332
2023-11-29;Wednesday;2;2023;November;Quarta;2;333
2023-11-30;Thursday;3;2023;November;Quinta;3;334
2023-12-01;Friday;4;2023;December;Sexta;4;335
2023-12-02;Saturday;5;2023;December;Sábado;5;336
2023-12-03;Sunday;6;2023;December;Domingo;6;337
2023-12-04;Monday;0;2023;December;Segunda;0;338
2023-12-05;Tuesday;1;2023;December;Terça;1;339
2023-12-06;Wednesday;2;2023;December;Quarta;2;340
2023-12-07;Thursday;3;2023;December;Quinta;3;341
2023-12-08;Friday;4;2023;December;Sexta;4;342
2023-12-09;Saturday;5;2023;December;Sábado;5;343
2023-12-10;Sunday;6;2023;December;Domingo;6;344
2023-12-11;Monday;0;2023;December;Segunda;0;345
2023-12-12;Tuesday;1;2023;December;Terça;1;346
2023-12-13;Wednesday;2;2023;December;Quarta;2;347
2023-12-14;Thursday;3;2023;December;Quinta;3;348
2023-12-15;Friday;4;2023;December;Sexta;4;349
2023-12-16;Saturday;5;2023;December;Sábado;5;350
2023-12-17;Sunday;6;2023;December;Domingo;6;351
2023-12-18;Monday;0;2023;December;Segunda;0;352
2023-12-19;Tuesday;1;2023;December;Terça;1;353
2023-12-20;Wednesday;2;2023;December;Quarta;2;354
2023-12-21;Thursday;3;2023;December;Quinta;3;355
2023-12-22;Friday;4;2023;December;Sexta;4;356
2023-12-23;Saturday;5;2023;December;Sábado;5;357
2023-12-24;Sunday;6;2023;December;Domingo;6;358
2023-12-25;Monday;0;2023;December;Segunda;0;359
2023-12-26;Tuesday;1;2023;December;Terça;1;360
2023-12-27;Wednesday;2;2023;December;Quarta;2;361
2023-12-28;Thursday;3;2023;December;Quinta;3;362
2023-12-29;Friday;4;2023;December;Sexta;4;363
2023-12-30;Saturday;5;2023;December;Sábado;5;364
2023-12-31;Sunday;6;2023;December;Domingo;6;365
2024-01-01;Monday;0;2024;January;Segunda;0;366
2024-01-02;Tuesday;1;2024;January;Terça;1;367
2024-01-03;Wednesday;2;2024;January;Quarta;2;368
2024-01-04;Thursday;3;2024;January;Quinta;3;369
2024-01-05;Friday;4;2024;January;Sexta;4;370
2024-01-06;Saturday;5;2024;January;Sábado;5;371
2024-01-07;Sunday;6;2024;January;Domingo;6;372
2024-01-08;Monday;0;2024;January;Segunda;0;373
2024-01-09;Tuesday;1;2024;January;Terça;1;374
2024-01-10;Wednesday;2;2024;January;Quarta;2;375
2024-01-11;Thursday;3;2024;January;Quinta;3;376
2024-01-12;Friday;4;2024;January;Sexta;4;377
2024-01-13;Saturday;5;2024;January;Sábado;5;378
2024-01-14;Sunday;6;2024;January;Domingo;6;379
2024-01-15;Monday;0;2024;January;Segunda;0;380
2024-01-16;Tuesday;1;2024;January;Terça;1;381
2024-01-17;Wednesday;2;2024;January;Quarta;2;382
2024-01-18;Thursday;3;2024;January;Quinta;3;383
2024-01-19;Friday;4;2024;January;Sexta;4;384
2024-01-20;Saturday;5;2024;January;Sábado;5;385
2024-01-21;Sunday;6;2024;January;Domingo;6;386
2024-01-22;Monday;0;2024;January;Segunda;0;387
2024-01-23;Tuesday;1;2024;January;Terça;1;388
2024-01-24;Wednesday;2;2024;January;Quarta;2;389
2024-01-25;Thursday;3;2024;January;Quinta;3;390
2024-01-26;Friday;4;2024;January;Sexta;4;391
2024-01-27;Saturday;5;2024;January;Sábado;5;392
2024-01-28;Sunday;6;2024;January;Domingo;6;393
2024-01-29;Monday;0;2024;January;Segunda;0;394
2024-01-30;Tuesday;1;2024;January;Terça;1;395
2024-01-31;Wednesday;2;2024;January;Quarta;2;396
